Command,Redirect From,Redirect To
DELETE,/tibhar-iv-l-balsa-6401.html,/products/tibhar-iv-l-balsa
DELETE,/tibhar-quantum.html,/products/tibhar-quantum
DELETE,/tibhar-quantum-6712.html,/products/tibhar-quantum
DELETE,/tibhar-quantum-6713.html,/products/tibhar-quantum
DELETE,/joola-zack.html,/products/joola-zack
DELETE,/dr-neubauer-viper.html,/products/dr-neubauer-viper
DELETE,/dr-neubauer-buffalo.html,/products/dr-neubauer-buffalo
DELETE,/dr-neubauer-killer-pro.html,/products/dr-neubauer-killer-pro
DELETE,/nittaku-ball-premium-40.html,/products/nittaku-ball-premium-40
DELETE,/nittaku-ball-sha-40.html,/products/nittaku-ball-sha-40
DELETE,/andro-speedball-mi1-40-white.html,/products/andro-speedball-mi1-40-white
DELETE,/tibhar-balls-40-syntt.html,/products/tibhar-balls-40-syntt
DELETE,/tibhar-balls-basic-40-syntt.html,/products/tibhar-balls-basic-40-syntt
DELETE,/729-ritc-802-40.html,/products/729-ritc-802-40
DELETE,/dsports-pants-navy.html,/products/dsports-pants-navy
DELETE,/dsports-pants-navy-6850.html,/products/dsports-pants-navy
DELETE,/dsports-jacket-cup-blue.html,/products/dsports-jacket-cup-blue
DELETE,/dsports-sweatshirt-performance-white.html,/products/dsports-sweatshirt-performance-white
DELETE,/dsports-sweatshirt-performance-grey.html,/products/dsports-sweatshirt-performance-grey
DELETE,/dsports-sweatshirt-performance-navy.html,/products/dsports-sweatshirt-performance-navy
DELETE,/dsports-shirt-performance-blue.html,/products/dsports-shirt-performance-blue
DELETE,/dsports-shirt-performance-green.html,/products/dsports-shirt-performance-green
DELETE,/dsports-shirt-performance-grey.html,/products/dsports-shirt-performance-grey
DELETE,/dsports-shirt-performance-red.html,/products/dsports-shirt-performance-red
DELETE,/dsports-shirt-performance-navy.html,/products/dsports-shirt-performance-navy
DELETE,/dsports-shirt-performance-white.html,/products/dsports-shirt-performance-white
